,Embedded_text,majority_sentiment
1303,"Flüge: Takt wegen Corona ausgedünnt und wegen Klima verpönt. Bahnverbindungen: wegen Corona ausgedünnt und wegen Scheuer unzuverlässig. 

Jetzt kommt auch noch ein Lokführer-Streik. Die Gewerkschaft GDL weiß, wie man Druck aufbaut - und sich maximal unbeliebt macht.
22
12
134",2
1305,"Seit zehn Jahren fordert DIE LINKE im Bundestag ein Herdenschutz-Kompetenzzentrum. Dass Bundesagrarministerin Julia Klöckner nun ein ‚Bundeszentrum Weidetiere und Wolf‘ eröffnet, ist ein längst überfälliger ... Schritt ...“ erklärt .
@KirstenTackmann
linksfraktion.de
Weidetierhaltende brauchen mehr als Symbolpolitik
„Seit zehn Jahren fordert DIE LINKE im Bundestag ein Herdenschutz-Kompetenzzentrum. Dass Bundesagrarministerin Julia Klöckner nun ein ‚Bundeszentrum Weidetiere und Wolf‘ eröffnet, ist ein längst...
1
4
8",3
1306,"""Im Bundestag legen wir uns jeden Tag mit der herrschenden Politik und auch mit den Reichen und Mächtigen in diesem Land an."" 
@Amira_M_Ali
 #linkebpt #sozialklimagerecht #jetzt
4
3
16",3
1307,"Heraus zum #1Mai - das lässt sich mit #stayhome nur im Netz vereinbaren. #gema1nsam setzen wir uns für mehr Tarifbindung, für höhere Löhne, gute Arbeitsbedingungen und für sichere und moderne Arbeitsplätze. #nichtselbstverständlich muss Folgen haben! #Solidarität ist #Zukunft.
196
52
430",1
1308,"Glückwunsch auch an die Spieler von Rot-Weiß Essen, die zum wiederholten Male den vermeintlichen Favoriten gezeigt haben, was eine Harke ist.
Die Traditionsmannschaft von der Hafenstraße macht dem Amateurfußball allerhöchste Ehre und verdient die Rückkehr in den Profifußball!
6
12",1
1311," „Respekt muss wieder eine größere Bedeutung bekommen.“ Unser Kanzlerkandidat 
@OlafScholz
 war gestern bei #farbebekennen zu Gast & hat betont, dass zu der Haltung, sich in der Gesellschaft auf Augenhöhe zu begegnen, auch gehört, Arbeit besser zu bezahlen. #SozialePolitikfürDich
36
33
123",1
1312,"So ist es! #CDU
Bericht aus Berlin
@ARD_BaB
 · 30. Okt. 2021
""Überwältigend"" – CDU-Generalsekretär Ziemiak zum Votum der Kreisvorsitzendenkonferenz, eine Mitgliederbefragung über den Parteivorsitz abzuhalten.
0:45
4.875 Mal angezeigt
29
10
42",3
1313,"Wenn Sonntags der Online-Handel boomt, herrscht in Innenstädten gähnende Leere. Während der Corona-Krise haben Deutsche 7 Bio Euro angespart. Um die Wirtschaft anzukurbeln, braucht es attraktive Angebote für den Einzelhandel. Dazu gehört die Möglichkeit Sonntags zu öffnen!
19
5
94",3
1314,"Zum #Impfstoff-Management in #Deutschland erklärt der gesundheitspolitische Sprecher der #AfD-Bundestagsfraktion, Detlev Spangenberg: ""Impfstoffverschwendung beenden, statt mit Verboten und #Impfpflicht zu hantieren!"" #Corona
afdbundestag.de
Spangenberg: Impfstoffe verwenden statt verwerfen
Berlin, 9. August 2021. Zum Impfstoffmanagement in Deutschland erklärt der gesundheitspolitische Sprecher der AfD-Bundestagsfraktion, Detlev Spangenberg: „Anfangs wurden Impfdosen in Impfzentren am...
16
12
60",2
1315,"Natürlich macht der Bundestag die Gesetze. Aber wir müssen weg von dem, was wir zu oft hatten: ein Vetorecht der Lobbyisten. Oft sogar durch Abgeordnete, die viel dazu verdient haben. Das muss auf jeden Fall weg. Sonst kommen wir beim Klimaschutz nicht weiter.
Friedrich Merz
@_FriedrichMerz
 · 4. Aug.
Der Vorschlag für ein #Klimaschutzministerium mit #Vetorecht zeigt das staatsautoritäre Denken der Grünen. Gesetze werden bei uns im Parlament beschlossen. Es ist mit der Verfassungsordnung unvereinbar, dass ein Ministerium gegen Bundestagsentscheidungen ein Veto einlegt. (FM)
267
399
4.335",3
1316,"Die 
@fdp_nds
 sucht einen Kampagnenreferenten/eine Kampagnenreferentin (m/w/d) für die Bundestags- und Kommunalwahl 2021  Großartiges Team  Tolle Herausforderung  https://fdp-nds.de/jobs
8
50",1
1318,"""Wir wollen, dass das Gemeinwohl mehr Gewicht bekommt, als bisher. Es geht um finanzielle Handlungsfähigkeit & gesellschaftlichen Zusammenhalt. Das ist nicht nur eine Gerechtigkeitsfrage. Demokratien sind stärker, wenn die Ungleichheit geringer ist."" Frank Bsirske #Wahlparteitag
11
26
178",1
1319,"Guckt Euch an, von welchen Unternehmensbranchen Parteien Geld bekamen... Viele Mio. €€€, die sicher nicht ohne Renditeerwartung an die Politik gespendet worden sind. 
@dieLinke
 nimmt übrigens aus Prinzip keine Spenden von Unternehmen, die linke Bilanz ist: 0 € von Unternehmen.
abgeordnetenwatch.de
@a_watch
 · 5. Juli 2021
Von wem bekommen Parteien Geld? Die @StZ_NEWS hat die Branchen von Unternehmen und Verbänden recherchiert, die mehr als 10.000 Euro gespendet haben (Angaben für 2019, aktuellere Angaben fehlen). @correctiv_org 

Unternehmensspenden an die @CDU nach Branchen: 
Diesen Thread anzeigen
6
22
75",3
1320,"Es geht, wenn man will!
Klara Kaffee
@KlarerKaffee
 · 9. Dez. 2021
Bremen rockt ja eh beim Impfen. Nun werden ab nächstem Dienstag 5- bis 11-Jährige in einem eigens eingerichteten Impfzentrum geimpft. Da K1 Jahrgang 2010 ist, wurde sie mit als erste schriftlich eingeladen. Geschwisterkinder dürfen mit und werden ebenfalls geimpft.
Diesen Thread anzeigen
15
3
78",1
1321,"Merkwürdig in Austs Buch sind allerdings die Einschätzungen zur Windenergie und die sehr eigenwillige Interpretation der Barschel-Affäre.
Der Weg von links unten nach rechts oben ist im übrigen ja durchaus nicht so selten 
10
8",2
1322,"""Auf unseren Strukturen liegt der Staub von 200 Jahren. Es ist Zeit, etwas zu tun!"", so 
@rbrinkhaus
 in seiner Einführung in das digitale #Fachgespräch zum Thema Moderne #Verwaltung. In der Krise sei wie unter einem Brennglas sichtbar geworden, was funktioniert und was nicht.
36
9
40",2
1324,"Wir freuen uns auf heute Abend! 
Olaf Scholz
@OlafScholz
Regierungsvertreter*in aus Deutschland
 · 23. Apr.
Diesen Samstag gibt es ein Zukunftsgespräch, das mir besonders am Herzen liegt: Ich spreche mit @alexander_jorde, @ClaudiaMollMdB & Heike Baehrens darüber, wie wir endlich bessere Bedingungen in der #Pflege schaffen. 

Schaltet ein!Link zum Stream: 
https://link.spd.de/EXTRA-PFLEGE
26
19
83",1
1325,"„Der Industrieverband fordert zu Recht klare Rahmenbedingungen und die Unterstützung der Politik für die Mammutaufgabe der klimafreundlichen Transformation. Doch wer fördert, muss auch fordern."", so Alexander Ulrich https://linksfraktion.de/presse/pressemitteilungen/detail/tag-der-industrie-foerdern-aber-auch-fordern/… 
@Der_BDI
 @bund_net
linksfraktion.de
Tag der Industrie: Fördern, aber auch fordern
„Der Industrieverband fordert zu Recht klare Rahmenbedingungen und die Unterstützung der Politik für die Mammutaufgabe der klimafreundlichen Transformation. Doch wer fördert, muss auch fordern....
3
5",3
1328,"Wie im Lehrbuch: wo die Impfungen fehlen steigen die Infektionen besonders an. Wir könnten schon so viel weiter sein.
Stefan Kluge
@StefanKluge4
 · 31. Okt. 2021
Infektionsgeschehen und Impfungen. Man muss kein Modellierer sein, um zu erahnen: In Bayern, Baden-Württemberg, Sachsen und Thüringen werden wir zuerst massive Steigerungsraten bei den Intensivpatienten sehen. Höheres Durchschnittsalter im Osten begünstigt zudem schwere Verläufe.
751
664
4.893",2
1329,"Wenn ich das richtig deute, haben wir bei vollständig Geimpften nun die USA überholt. Doch 50% reichen nicht, der Impfzug muss voll Lotte weiter fahren!
Jens Spahn
@jensspahn
 · 26. Juli 2021
41,1 Mio (49,4%) Deutsche haben einen vollen Impfschutz, 50,6 Mio (60,9%) sind mind. einmal geimpft. Über 800.000 12- bis 17-Jährige (18,4%) haben sich bisher für eine Impfung entschieden. Impfstoff ist ausreichend für alle Altersgruppen da - bitte impfen lassen!
1
1
30",3
1330,"Ein Karriereberater meint es gut mit mir. Sed frustra...
Matthias Renger
@matthias_renger
 · 20. Feb. 2021
 Ich bin echt verwirrt von Herrn #Lauterbach #Flick
310
177
4.806",2
1331,"Heute ist der #TagderPressefreiheit. Gewalt gegenüber Journalisten nimmt leider zu. Wir sagen dazu klar: Das dulden wir nicht! Unsere Leitlinien haben wir hier skizziert:  https://cducsu.de/sites/default/files/2020-11/Positionspapier_Pressefreiheit.%20Ergebnis%20Mitberatung%20II_0.pdf… #Pressefreiheit
22
6
23",2
1335,"Von den Vorteilen einer Zweideutigkeit spricht Henry #Kissinger im Interview zur Politik der #USA gegenüber #China
nzz.ch
Henry Kissinger über die USA, China und die Zukunft der Welt.
Bahnt sich zwischen den USA und China ein kalter Krieg an? Oder ist die Gefahr bei der Entwicklung der künstlichen Intelligenz zu suchen? Der amerikanische Aussenpolitiker und Stratege äussert sich...
1
1
3",3
1336,"Der Blick auf den #Arbeitsmarkt zeigt zwei Dinge:
1) Die Arbeit geht uns nicht aus. In einigen Branchen droht sogar Fachkräftemangel. 
2) Die Arbeit wird digitaler und abstrakter. Wir brauchen daher weltbeste Bildung! Damit jeder und jede eine Chance erhält!
8
4
132",3
1337,"Dictator #Lukashenko is trying to intimidate Europe by sending illegal migrants to  #Lithuania. This is unacceptable & we fully support the manpower 
@Frontex
 is mobilising to protect the EU border with #Belarus. Lukashenko cannot decide who comes into 
lrt.lt
EU’s border guards to help patrol Belarusian border in Lithuania
First Frontex border guards should arrive in Lithuania in July, chief of the Lithuanian State Border Guard Service (VSAT...
5
26
45",2
1338,"Hatte gerade das zweifelhafte Vergnügen mit der Fraktionsvorsitzenden der rechtsradikalen AfD ein Streitgespräch übe Impfpflicht zu führen. Diese Coronaleugner sind gefährlich, weil sie andere gegen das Impfen aufhetzen. Am Ende leiden und sterben Menschen auf Intensivstationen.
Stefanswelt
@Stefanswelt
 · 7. Dez. 2021
Immer wenn Alice #Weidel im Bundestag lügt, sollte man das politische Chamäleon an ihren Sinneswandel erinnern. #noAfD #Bundestag
366
55
132",2
1339,"Dann wäre da noch 
#Konjunkturpaket  #KommunaleInvestitionen #Kulturmilliarde 
Morgen nehmen wir das #B durch
91
24
291",3
1340,"From 
@RichardGrenell
 to 
@HeikoMaas
 ""No, this is not a #ceasefire , but it is just a break because #Hamas  has run out of rockets!"" - delivered by #Iran, payed by the #EU

#Israel 
@IsraelinGermany
 #IsraelUnderAttack #afd 
@inJAfD
0:37
503 Mal angezeigt
Richard Grenell
@RichardGrenell
 · 21. Mai 2021
This isn’t a ceasefire. Hamas is just running out of their rocket stockpile.
4
15
36",3
1341,"Presseinfo 
@JM_Luczak
 & 
@TSchipanski
: Neues Urheberrecht bringt Netzkultur und Schutz geistigen Eigentums miteinander in Einklang
cducsu.de
Neues Urheberrecht bringt Netzkultur und Schutz geistigen Eigentums miteinander in Einklang
Am heutigen Donnerstag berät der Deutsche Bundestag abschließend die Reform des Urheberrechts. Dazu erklären der rechtspolitische Sprecher der CDU/CSU-Bundestagsfraktion, Jan-Marco Luczak, un...
3
3
4",3
1342,"Ich freue mich. Herzliche Gratulation an alle drei !
Dt. Ev. Kirchentag
@kirchentag_de
 · 18. Okt.
Den neuen Präsidiumsvorstand bilden: Thomas de Maizière, @AnjaSiegesmund und Torsten Zugehör. Bettina Limperg, Präsidentin des #oekt meint: ""Drei Präsident*innen aus den neuen Bundesländern: das ist auch ein Zeichen des Wandels und der neuen Wege."" #jetztistdiezeit
5
4
39",1
1343,"Falls ihr noch einen Fernsehtipp für heute Abend braucht! 
Prof. Karl Lauterbach
@Karl_Lauterbach
 · 2. Feb. 2021
Bin heute Abend 23:30 Uhr bei Markus #lanz Themen: Neue Impfstoffe, Mutationen, Lockerungen. Kommentare vorher und nachher sehr willkommen. Lese ich selbst.   https://zdf.de/gesellschaft/markus-lanz/markus-lanz-vom-2-februar-2021-100.html…
35
4
32",3
1344,"Unglaubliche nächtlichen Reportagen+Bilder auf CNN.
Donald Trump ist ein Putschist- sein Kampf gegen das demokratische Wahlergebnis kommt einem Staatsstreich gleich.
Er muss wohl noch vor dem Ende seiner Amtszeit in 14 Tagen aus dem Verkehr gezogen+anschließend angeklagt werden!
71
10
95",2
1345,"Hoher Besuch in Bayern: Dänemarks Königin Margrethe II. zu Gast in München. Bayern hat eine royale Tradition, daher konnten wir die Königin in der Residenz würdig empfangen. Besonders interessiert sie unsere bayerische Geschichte, aber auch die antike Kunst in der Glyptothek.
67
30
243",1
1346,"TEIL2 : Aufgrund des Bedürfnisses nach Alternativen folgende ergänzende Umfrage. Welche weitere Gruppen innerhalb der #CDU werde  bei der Wahl des Vorsitzenden wichtig sein:
Die FrauenUnion
49,2 %
Die CDA
11 %
Sie SeniorenUnion
33,1 %
Die KPV
6,6 %
181 Stimmen
·
Endergebnisse
6
3
5",3
1347,"Ein Erfolgsmodell:
#fünffürThüringen!
#AfD #Thüringen
#Deutschlandabernormal! 
#wirholendasDirektmandat
#Gera #Greiz #AltenburgerLand #WK194 #Berlin #Bundestag #Brandner
30
12
59",1
1348,"So ist es!
DER SPIEGEL
@derspiegel
 · 19. Feb. 2021
»Durch die Worte von Höcke, Gauland und Co. fühlen sich Täter wie der Mörder von Hanau bestätigt«: SPD-Fraktionschef Mützenich und Außenminister Maas greifen die AfD scharf an. https://spiegel.de/politik/deutschland/anschlag-in-hanau-rolf-muetzenich-und-heiko-maas-nennen-afd-geistige-brandstifter-a-4774e98d-52c9-4c57-ba0f-75a87985f870?utm_source=dlvr.it&utm_medium=%5Bfacebook%5D&utm_campaign=%5Bspontop%5D#ref=rss…
32
9
36",2
1351,"Achso
ZDF Bayern
@ZDFbayern
 · 18. Nov. 2021
Der bayerische Ministerpräsident Markus #Soeder „Wir werden dem Infektions-Schutzgesetz im Bundesrat zustimmen.“ @ZDFheute
11
5
311",3
1352,"Mein Post auf 
@gruen_digital
 Die 
@GrueneBundestag
 legen #Antrag vor: ""Gold-Standard"" bei Befugnissen und der #Kontrolle nachrichtendienstlicher Tätigkeit schaffen https://gruen-digital.de/2021/02/gruene-legen-antrag-vor-gold-standard-bei-befugnissen-und-kontrolle-nachrichtendienstlicher-taetigkeit-schaffen/… #Demokratie #Transparenz #Kontrolle #BND #BVerfG
3
11",3
1353,"Liebe Fr. Schwesig, wenn Sie den Frust über die #MPK verstehen können und selbst großen Anteil am Ergebnis und Vorgehen der MPK haben, warum haben Sie dann das Papier verabschiedet oder schlagen nicht vor, das Gremium in dieser Form zur Coronalage dann nicht mehr tagen zu lassen?
Manuela Schwesig
@ManuelaSchwesig
 · 23. März 2021
Ich kann den Frust vieler Menschen über die #MPK gestern verstehen. Uns fällt jetzt der Fehler bei der Impfstoffbeschaffung auf die Füße. Mein Vorschlag: alle Bürger*innen werden mit Selbttests ausgestattet, damit wir mehr testen. Nur Schließen kann nicht die Alternative sein.
71
51
266",2
1354,"""Es geht jetzt nicht um die Kanzlerkandidatur der Union. Die spannende Frage für die Koalition ist viel mehr: Kommt die CDU jetzt so zur Ruhe, dass wir die kommenden Aufgaben gerade mit Blick auf die Corona-Pandemie gut meistern können?"", fragt 
@EskenSaskia
 bei #AnneWill.
10
11
82",3
1357,"52% für ein NEIN gegen den #Staatstrojaner ist nichts, worauf die Grünen stolz sein können u nichts, worüber die Zivilgesellschaft erleichtert aufatmen kann. Wie stabil sind wohl 52% bei Koalitionsverhandlungen von SchwarzGrün? Gerade so dagegen zu sein, ist zu wenig. #dBDK21
Andre Meister
@andre_meister
 · 12. Juni 2021
.@Die_Gruenen haben #Staatstrojaner aus ihrem Wahlprogramm wieder gestrichen. Der Parteitag #dBDK21 hat soeben den Antrag von @MarieSchaeff angenommen und sich damit gegen Bundesvorstand und @KonstantinNotz gestellt. Mal sehen, ob diese Position in Koalitionsverhandlungen hält.
8
51
204",2
1358,"Die #SPD mit der Wut des Verzweifelten. Nur noch peinlich, mehr muss man über diese Volkspartei a.D. aber auch nicht sagen...
Hubertus Heil
@hubertus_heil
 · 11. Apr. 2021
Die Konservativen haben jetzt die Wahl zwischen einem skrupellosen Zocker und einem nervösen Zauderer. Für Deutschland sind weder eine noch der andere eine gute Option.
23
17
159",2
1359,"Zu erneuten Einschränkungen für Kinder & Jugendliche sei er nicht bereit, so 
@JoachimStamp
. ""Niemand käme auf die Idee, wegen Unfallgefahr auf dem Schulweg den Unterricht zu beschränken. So muss es jetzt auch im Umgang mit der Coronavirus-Pandemie werden.""
aachener-zeitung.de
Neuer Blick auf Corona: Stamp warnt vor dauerhafter Angstgesellschaft
Nordrhein-Westfalens stellvertretender Ministerpräsident Joachim Stamp hat vor einer dauerhaften Angstgesellschaft in der Corona-Krise gewarnt. Das gelte gerade auch im Hinblick auf Kinder.
12
14
70",2
1360,"▷ Stephan Brandner: ""Unsere Wahlkämpfe sind immer offen, fair und faktenbasiert"" | Presseportal
presseportal.de
Stephan Brandner: ""Unsere Wahlkämpfe sind immer offen, fair und faktenbasiert""
Berlin (ots) - Die Initiative ""campaign watch"" hat anlässlich der Bundestagswahl 2021 einen Leitfaden für einen Online-Wahlkampf ""ohne Diskriminierung, Desinformation und...
48
15
87",1
1361,"Hier ein Podcast der 
@LageNation
 mit mir in dem es auch um das Spannungsfeld Politik und Wissenschaft geht. Und um Drohungen gegen mich oder andere Wissenschaftler. Wie man sich dann anders verhält. Drohungen wirken leider. Irgendwann heisst es BKA oder Rückzug.
Kai L.
@probek
 · 25. Juni
“Zwei Dinge haben mich überrascht. Wie viele Verrückte im Klarnamen sich mit mir auseinandersetzen und zum zweiten: wie viele Antisemiten es in Deutschland noch gibt”, sagt @Karl_Lauterbach bei @LageNation. Ein Hörtipp. https://lagedernation.org/podcast/ldn246-spezial-karl-lauterbach-spd-gesundheitsexperte/?t=56%3A36…
Diesen Thread anzeigen
89
74
754",2
1362,"Gute Personalvorschläge für allseits geachtete Kolleginnen.
Gut ist auch, dass es nur wenig sozialdemokratische Kommentierung der Personaldebatten in den letzten Tagen gegeben hat. Manche Unterstellungen und Vorschläge waren ziemlich daneben.
4
4",1
1363,"Spannender Dialog zur Konferenz zur Zukunft Europas heute auf Einladung meiner Kollegin 
@hildebentele
 in Berlin. Europa muss näher zu den Menschen kommen. Dafür braucht es mehr Demokratie, Handlungsfähigkeit und Effizienz. #CoFoE
3
5
17",3
1364,"Viele Menschen aus ganz Europa waren digital dabei. Danke!
FES online
@FESonline
 · 18. Feb. 2021
Das war unsere digitale Konferenz #UnboxingHateSpeech . Wir bedanken uns bei allen Mitwirkenden für die Erkenntnisse, die Inspiration & das Mutmachen und wir danken ganz besonders unseren Mitveranstaltern @AuswaertigesAmt  @GermanyCoE  @BMJV_Bund für die Unterstützung!
Diesen Thread anzeigen
2
13",1
1365,"Die Redaktion des Online-Duden ist ganz offensichtlich von der Lebens- und Sprachrealität der Menschen meilenweit entfernt. Oder glauben die dort ernsthaft, dass irgendjemand das Wort »Bösewichtin« verwendet? 
54
94
445",2
1367,"Prawo  musi mieć pierwszeństwo przed prawem krajowym. W Polsce i wszędzie. Inaczej nasza wspólnota wartości zbudowana na wspólnych prawach nie może funkcjonować. Zamachy, które to podważają, osiągnęły nową jakość. Pełne poparcie dla 
@EU_Commission
 w celu zapewnienia jedności 
708
74
122",3
1369,"Erschütternd die #Rassismus Erfahrungen im Fußball. Rassismus zu bekämpfen, ist gesamtgesellschaftliche Aufgabe. Es ist an uns allen, gemeinsam allen Herabwürdigungen, Ausschlüssen & Bedrohungen immer & überall zu begegnen. https://zdf.de/sport/zdf-sportreportage/fussball-dfb-nationalmannschaft-schwarze-adler-doku-100.html…
6
17
122",2
1371,"Jetzt einschalten! In wenigen Minuten senden wir LIVE aus dem Konrad-Adenauer-Haus: Die Townhall mit allen drei Kandidaten um den #CDUVorsitz. 
@HBraun
, 
@_FriedrichMerz
 und 
@n_roettgen
 im direkten Gespräch.
 http://youtube.com/c/cdutv
 Phoenix
25
13
37",3
1372,"Ich verurteile die Machtübernahme durch das Militär in #Myanmar aufs Schärfste. Alle Verhafteten, inkl Präs Win Myint+Staatsrätin Aaung San Suu Kyi müssen freigelassen werden. Wir unterstützen die Menschen in ihrem Willen nach #Demokratie+Menschenrechten.
tagesschau.de
Putsch in Myanmar: Militär nimmt Aung San Suu Kyi fest
Die De-facto-Regierungschefin von Myanmar ist von der Armee festgenommen worden. Auch der Präsident des Landes befindet sich in Gewahrsam. Das Militär verhängte den Notstand. Suu Kyi und die Regier...
28
36
142",2
1373,"+++#Bundeswehr-Einsatz: Der abrupte Abzug aus #Afghanistan ist die #Konsequenz aus dem gescheiterten Einsatz+++ 

Der verteidigungspolitische Sprecher der #AfD-Fraktion im Deutschen Bundestag, 
@MdB_Lucassen
 , erklärt dazu:
https://afdkompakt.de/2021/07/01/afghanistan-einsatz-der-abrupte-abzug-aus-afghanistan-ist-die-konsequenz-aus-dem-gescheiterten-einsatz/… 

#AfD #abernormal
afdkompakt.de
Afghanistan-Einsatz: Der abrupte Abzug aus Afghanistan ist die Konsequ
Gestern wurden die letzten deutschen Soldaten aus Afghanistan nach Hause gebracht. Der verteidigungspolitische Sprecher der AfD-Fraktion im Deutschen Bundestag, Rüdiger Lucassen, erklärt dazu: ""D
11
12
71",2
1374,"#AfD #Thüringen
#wirholendasDirektmandat
#Deutschlandabernormal 
#Gera #Greiz #AltenburgerLand #WK194 #Berlin #Bundestag #Brandner
27
45
160",3
1375,"Der Tag fängt gut an. Habe mir eben gerade in der Apotheke um die Ecke das Digitale Impfzertifikat besorgt. Einfach Impfpass vorzeigen und Du bekommst den QR-Code. Nutze dafür die #CoronaWarnApp. Hat keine 5min gedauert! #digitalerImpfpass
11
7
72",1
1376,"An #Pfingsten feiern Christen den Geburtstag der #Kirche, die ihre Gründung auf die Eingebung des Heiligen Geistes zurückführt. Liebe, Freude, Friede, Langmut, Freundlichkeit, Güte, Treue, Sanftmut und Selbstbeherrschung sind die Früchte d. Heiligen Geistes. Gesegnete Pfingsten!
47
18
88",1
1378,"Wenn es einen Personalvorschlag der #noAfD gab und Du anschließend mehr als 25 Zeichen benötigst, um dein Abstimmungsverhalten zu erklären, dann lief da irgendwas ganz gewaltig schief.
Grüne Fraktion BaWü
@FraktionGruenBW
 · 22. Juli 2021
Es gab KEINE Grüne Stimme für den AfD-Mann! Nach der Geschäftsordnung des @Landtag_BW  hat die #noAfD das Vorschlagsrecht für eine*n Richter*in am Verfassungsgerichtshof #BadenWuerttemberg. Hätte die Mehrheit der Abgeordneten den AfD-Kandidaten abgelehnt, ... (1/2)
Diesen Thread anzeigen
50
160
1.998",2
1379,"„Not-OP! - Messer-Mann (57) sticht auf Ehefrau (46) ein“
bild.de
Not-OP!: Messer-Mann (57) sticht auf Ehefrau (46) ein
Gefährliche Messer-Attacke am Donnerstagabend!
38
19
69",2
1380,"Hoffentlich bestätigt sich nicht, was diese Grafik zeigt. Wenn ja müssen sofort Reisebeschränkungen erfolgen. Wir müssen Zeit gewinnen. Nichts ist schlimmer als eine neue Variante in eine laufende Welle hinein.
John Burn-Murdoch
@jburnmurdoch
 · 25. Nov. 2021
Five quick tweets on the new variant B.1.1.529

Caveat first: data here is *very* preliminary, so everything could change. Nonetheless, better safe than sorry.

1) Based on the data we have, this variant is out-competing others *far* faster than Beta and even Delta did 
Diesen Thread anzeigen
1.530
2.283
10.139",2
1381,"Guten Morgen aus Bordesholm 
Mein Musiktipp für Euch da draußen im digitalen Orbit ist von 
Janis Joplin - Cry Baby (Official Audio) https://youtu.be/VfGSd-tikH4 via 
@YouTube
Schönen 1.Advent 
youtube.com
Janis Joplin - Cry Baby (Official Audio)
""Cry Baby"" by Janis JoplinListen to Janis Joplin: https://JanisJoplin.lnk.to/listenYDWatch more Janis Joplin videos: https://JanisJoplin.lnk.to/listenYD/yout...
3
7",1
1383,"SWP Berlin
@SWPBerlin
 · 18. Jan. 2021
Im Podcast »Frieden & Eintracht international« sprach @nouripour mit Laura von Daniels über die Folgen der US-Wahlen und die aktuellen Geschehnisse in den USA. #USWahlen2020 #USElection2020
https://anchor.fm/omid-nouripour/episodes/US-Wahlen-mit-Dr--Laura-von-Daniels-eovd85…
3",3
1384,"Wo ist jetzt die verlässliche Perspektive für die Landwirtschaft, für‘s Klima und die Artenvielfalt 
@JuliaKloeckner
? #GAP
Renate Künast
@RenateKuenast
 · 28. Mai 2021
Jetzt muss Ministerin Klöckner erklären wie es weiter gehen soll: mit einer verlässlichen Perspektive für die Landwirtschaft, fürs Klima und die Artenvielfalt. Was nun, Frau Klöckner? 
Das ganze Statement zur #GAP und #CAPtrilogue 
4
8
87",3
1385,"Investition in die Zukunft: Eröffnung des Berufszentrums Deggendorf für über 60 Mio. Euro. Bayern ist Platz 1 für moderne berufliche Bildung. Hier werden Könner ausgebildet mit 3D-Druck, Plasmaschneidern, CNC und Robotik. Bayern braucht einen starken ländlichen Raum.
69
18
216",1
1387,"Wer sich empört, dass #Corona -Tests selbst bezahlt werden sollen, hat bereits akzeptiert, dass wir uns testen müssen, bevor wir einkaufen gehen können. #NoTest #ZerstörungDesEinzelhandels #AmazonKonjunkturpaket
75
267
1.203",2
1388,"Es ist keine Zeit für überstürzte Lockerungen. Die Infektionszahlen gehen runter, wir sind aber noch weit vom Inzidenzwert 50 entfernt. Wir bleiben beim Kurs von Vorsicht und Umsicht und wollen keinen Lockerungswettbewerb, sonst sind wir innerhalb kürzester Zeit wieder bei 150.
1.153
363
3.722",3
1390,"Annalena #Baerbock hat bisher am kürzesten gesprochen, aber am meisten gesagt. #Triell #RTl
101
291
3.757",3
1392,"Herzlichen Glückwunsch! Immer wieder aufregend und schön, solche Überraschungssiege.
SV Babelsberg 03
@SVBabelsberg03
 · 7. Aug.
Was für eine Sensation!! Der SV Babelsberg 03 schlägt den Bundesligisten Greuther Fürth nach Elfmeterschießen!!! und steht damit in der 2. Runde vom DFB-Pokal
19
19
272",1
1393,"Pressekonferenz mit 
@SusanneHennig
 zu aktuellen politischen Themen
8:26
2.000 Zuschauer
DIE LINKE
@dieLinke
Pressekonferenz mit @SusanneHennig
4
5
19",3
1395,"„Eine #EU, die nicht alles tut, um das Sterben im #Mittelmeer zu beenden, hat jeglichen menschenrechtlichen Kompass über Bord geworfen“, so 
@michel_brandt_
linksfraktion.de
EU muss Sterben im Mittelmeer beenden
„Eine EU, die nicht alles tut, um das Sterben im Mittelmeer zu beenden, hat jeglichen menschenrechtlichen Kompass über Bord geworfen“, erklärt Michel Brandt.
6
8
32",2
1396,"Hier die Übersicht der Inzidenz 5-14 J für ganz Deutschland. Die Lage in NRW ist ohne Beispiel. Kinder sollten nicht dem Risiko von #LongCovid ausgesetzt werden.
786
1.984
8.124",3
1397,"Wer dieser Tage überlegt, sich #impfen zu lassen, sollte einen Moment auch an diejenigen denken, die in den medizinischen Einrichtungen ihre gesamte Kraft in unsere Gesundheit investieren. In die Gesundheit unserer Eltern & Großeltern, unserer Freunde & auch in unsere eigene. 1/2
1:23
13.860 Mal angezeigt
311
30
158",3
1399,"„Die oberen 10% der Steuerpflichtigen bezahlen mehr als 50% des Einkommenssteueraufkommens. Zu behaupten, dass sich diese Menschen nicht genug an der Finanzierung des Gemeinwesens beteiligen, ist unseriös. Wir haben die höchsten Steuern und Abgaben in Europa.“ (tm) #Maischberger
772
462
3.384",2
1401,"Vor 5 Jahren stand die Frage im Vordergrund, wie wir geflüchteten Menschen helfen können. Wir haben die Turnhallen freigeräumt, wir haben Standards und Beratungsstellen geschaffen, wir haben geholfen.
Die Menschen werden sich aus Afghanistan auf den Weg machen. 
@ElkeBreitenbach
5
15
35",3
